"no","name","category","designation","prefecture","region","latitude","longitude","source_type","source_url","source_record_id","coordinate_source","selection_role","selection_rule"
"1","伊勢神宮 内宮","近畿五芒星・固定アンカー","記事の事前登録地点","三重県","東海","34.455000","136.725200","提供元アンカー","provided:candidate-sites-200.csv","anchor-001","提供されたcandidate-sites-200.csv","target-anchor","article target; fixed before background sampling"
"2","熊野本宮大社","近畿五芒星・固定アンカー","記事の事前登録地点","和歌山県","近畿","33.840600","135.773400","提供元アンカー","provided:candidate-sites-200.csv","anchor-002","提供されたcandidate-sites-200.csv","target-anchor","article target; fixed before background sampling"
"3","伊弉諾神宮","近畿五芒星・固定アンカー","記事の事前登録地点","兵庫県","近畿","34.460100","134.852500","提供元アンカー","provided:candidate-sites-200.csv","anchor-003","提供されたcandidate-sites-200.csv","target-anchor","article target; fixed before background sampling"
"4","元伊勢皇大神社","近畿五芒星・固定アンカー","記事の事前登録地点","京都府","近畿","35.430400","135.154300","提供元アンカー","provided:candidate-sites-200.csv","anchor-004","提供されたcandidate-sites-200.csv","target-anchor","article target; fixed before background sampling"
"5","伊吹山","近畿五芒星・固定アンカー","記事の事前登録地点","滋賀県","近畿","35.417800","136.406400","提供元アンカー","provided:candidate-sites-200.csv","anchor-005","提供されたcandidate-sites-200.csv","target-anchor","article target; fixed before background sampling"
"6","日光の社寺","世界遺産","世界遺産","栃木県","関東","36.758204","139.596767","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-8","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"7","原爆ドーム","世界遺産","世界遺産","広島県","中国","34.395643","132.453593","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-5","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"8","佐渡島の金山","世界遺産","世界遺産","新潟県","北陸甲信","37.909722","138.325278","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-00000024","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"9","「神宿る島」宗像・沖ノ島と関連遺産群","世界遺産","世界遺産","福岡県","九州","33.805544","130.540506","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-15","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"10","平泉―仏国土（浄土）を表す建築・庭園及び考古学的遺跡群―","世界遺産","世界遺産","岩手県","東北","39.001593","141.099942","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-13","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"11","琉球王国のグスク及び関連遺産群","世界遺産","世界遺産","沖縄県","沖縄","26.690766","127.929985","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-9","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"12","富岡製糸場と絹産業遺産群","世界遺産","世界遺産","群馬県","関東","36.391194","139.060956","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-17","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"13","石見銀山遺跡とその文化的景観","世界遺産","世界遺産","島根県","中国","35.103708","132.437207","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-11","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"14","古都奈良の文化財","世界遺産","世界遺産","奈良県","近畿","34.688232","135.839868","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-7","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"15","百舌鳥・古市古墳群―古代日本の墳墓群―","世界遺産","世界遺産","大阪府","近畿","34.573686","135.482864","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-00000020","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"16","法隆寺地域の仏教建造物","世界遺産","世界遺産","奈良県","近畿","34.614558","135.734201","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","901-1","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"17","大洲城三の丸南隅櫓","城郭建築","重要文化財","愛媛県","四国","33.506740","132.540765","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3379","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"18","福山城（松前城）本丸御門","城郭建築","重要文化財","北海道","北海道","41.429697","140.108108","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-25","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"19","油山寺山門","城郭建築","重要文化財","静岡県","東海","34.784574","137.936157","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-1155","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"20","福岡城南丸多聞櫓","城郭建築","重要文化財","福岡県","九州","33.583460","130.381997","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3466","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"21","新発田城","城郭建築","重要文化財","新潟県","北陸甲信","37.954713","139.326018","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-636","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"22","弘前城三の丸東門","城郭建築","重要文化財","青森県","東北","40.607162","140.467710","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-61","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"23","旧江戸城田安門","城郭建築","重要文化財","東京都","関東","35.694283","139.749370","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-500","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"24","宇和島城天守","城郭建築","重要文化財","愛媛県","四国","33.219462","132.565240","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3375","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"25","名古屋城二之丸大手二之門","城郭建築","重要文化財","愛知県","東海","35.182936","136.900681","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-1188","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"26","熊本城","城郭建築","重要文化財","熊本県","九州","32.806501","130.704808","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3546","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"27","小諸城","城郭建築","重要文化財","長野県","北陸甲信","36.328648","138.421908","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-952","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"28","福山城","城郭建築","重要文化財","広島県","中国","34.489726","133.360751","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3145","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"29","犬山城天守","城郭建築","国宝","愛知県","東海","35.388347","136.939287","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-1239","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"30","佐賀城鯱の門及び続櫓","城郭建築","重要文化財","佐賀県","九州","33.245916","130.302883","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3506","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"31","高知城","城郭建築","重要文化財","高知県","四国","33.560805","133.531543","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3419","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
