"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度","source_query"
"102","85","岩木山神社","中門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19860122","","青森県","青森県弘前市百沢","","岩木山神社","","40.62143272000000","140.34112476000000","102-shrine"
"102","84","岩木山神社","瑞垣","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19710622","","青森県","青森県弘前市百沢","","岩木山神社","","40.62144671000000","140.34099842000000","102-shrine"
"102","83","岩木山神社","奥門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19710622","","青森県","青森県弘前市百沢","","岩木山神社","","40.62177152000000","140.34077547000000","102-shrine"
"102","82","岩木山神社","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19710622","","青森県","青森県弘前市百沢","","岩木山神社","","40.62185546000000","140.34066312000000","102-shrine"
"102","81","岩木山神社楼門","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080423","","青森県","青森県弘前市百沢","","岩木山神社","","40.62103972000000","140.34156280000000","102-shrine"
"102","75","櫛引八幡宮","南門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19930420","","青森県","青森県八戸市大字八幡字八幡丁","","櫛引八幡宮","","40.48983725000000","141.43486704000000","102-shrine"
"102","72","櫛引八幡宮","旧拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19930420","","青森県","青森県八戸市大字八幡字八幡丁","","櫛引八幡宮","","40.48990019000000","141.43425030000000","102-shrine"
"102","74","櫛引八幡宮","末社春日社本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19930420","","青森県","青森県八戸市大字八幡字八幡丁","","櫛引八幡宮","","40.49015192000000","141.43455553000000","102-shrine"
"102","73","櫛引八幡宮","末社神明宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19930420","","青森県","青森県八戸市大字八幡字八幡丁","","櫛引八幡宮","","40.49018338000000","141.43504011000000","102-shrine"
"102","71","櫛引八幡宮","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19930420","","青森県","青森県八戸市大字八幡字八幡丁","","櫛引八幡宮","","40.49032183000000","141.43478523000000","102-shrine"
"102","66","熊野奥照神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","19540917","","青森県","青森県弘前市大字田町四丁目","","熊野奥照神社","","40.61262419000000","140.47997107000000","102-shrine"
"102","00003995","高照神社","随神門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","20060705","","青森県","青森県弘前市大字高岡","","高照神社","","40.62321069000000","140.35517283000000","102-shrine"
"102","00003994","高照神社","拝殿及び幣殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","20060705","","青森県","青森県弘前市大字高岡","","高照神社","","40.62323013000000","140.35469985000000","102-shrine"
"102","00003993","高照神社","東軒廊","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20060705","","青森県","青森県弘前市大字高岡","","高照神社","","40.62324503000000","140.35452483000000","102-shrine"
"102","00003992","高照神社","西軒廊","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20060705","","青森県","青森県弘前市大字高岡","","高照神社","","40.62324680000000","140.35439442000000","102-shrine"
"102","00003991","高照神社","中門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20060705","","青森県","青森県弘前市大字高岡","","高照神社","","40.62324839000000","140.35446540000000","102-shrine"
"102","00003990","高照神社","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20060705","","青森県","青森県弘前市大字高岡","","高照神社","","40.62326309000000","140.35425194000000","102-shrine"
"102","00003999","高照神社","廟所門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","20060705","","青森県","青森県弘前市大字高岡","","","高照神社","40.62339281000000","140.35216636000000","102-shrine"
"102","00003998","高照神社","廟所拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20060705","","青森県","青森県弘前市大字高岡","","","高照神社","40.62340269000000","140.35203711000000","102-shrine"
"102","00003997","高照神社","津軽信政公墓　（２）","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","20060705","","青森県","青森県弘前市大字高岡","","","高照神社","40.62340750000000","140.35195444000000","102-shrine"
"102","00003996","高照神社","津軽信政公墓　（１）","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20060705","","青森県","青森県弘前市大字高岡","","","高照神社","40.62340877000000","140.35188801000000","102-shrine"
"102","48","津軽家霊屋","凌雲臺","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","19860122","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59752244000000","140.45047632000000","102-shrine"
"102","47","津軽家霊屋","白雲臺","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19860122","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59780666000000","140.45042205000000","102-shrine"
"102","46","津軽家霊屋","明鏡臺","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19860122","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59809317000000","140.45039824000000","102-shrine"
"102","45","津軽家霊屋","碧巖臺","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19860122","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59833927000000","140.45038885000000","102-shrine"
"102","44","津軽家霊屋","環月臺","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19860122","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59855379000000","140.45025386000000","102-shrine"
"102","64","津軽為信霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19531114","","青森県","青森県弘前市大字藤代一丁目","","革秀寺","","40.61233674000000","140.44998722000000","102-shrine"
"102","63","東照宮本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19531114","","青森県","青森県弘前市大字笹森町","","弘前市","","40.60822295000000","140.47457345000000","102-shrine"
"102","88","南部利康霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19531114","","青森県","青森県三戸郡南部町大字小向","","","南部町","40.41431886000000","141.26561289000000","102-shrine"
"102","52","弘前八幡宮","唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","19360918","","青森県","青森県弘前市大字八幡町一丁目","","弘前八幡宮","","40.61621757000000","140.47930471000000","102-shrine"
"102","51","弘前八幡宮","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","19360918","","青森県","青森県弘前市大字八幡町一丁目","","弘前八幡宮","","40.61631188000000","140.47930853000000","102-shrine"
"102","100","日高神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19900911","","岩手県","岩手県奥州市水沢区日高小路","","日高神社","","39.14284534000000","141.13234889000000","102-shrine"
"102","138","圓通院霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19850518","","宮城県","宮城県宮城郡松島町松島","","圓通院","","38.37136277000000","141.05965176000000","102-shrine"
"102","116","大崎八幡宮","","国宝・重要文化財（建造物）","国宝","近世以前／神社","","桃山","19030415","19521122","宮城県","宮城県仙台市青葉区八幡四丁目","","大崎八幡宮","","38.27252153000000","140.84499749000000","102-shrine"
