"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","25","福山城（松前城）本丸御門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19410508","","北海道","北海道松前郡松前町大字松城","","松前町","","41.42969676000000","140.10810812000000"
"102","59","弘前城","三の丸追手門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60383957000000","140.46420296000000"
"102","54","弘前城","二の丸辰巳櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60579349000000","140.46483154000000"
"102","55","弘前城","二の丸未申櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60610266000000","140.46263273000000"
"102","57","弘前城","二の丸南門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60620438000000","140.46368308000000"
"102","53","弘前城","天守","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸後期","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60745356000000","140.46417696000000"
"102","58","弘前城","二の丸東門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60765739000000","140.46534617000000"
"102","56","弘前城","二の丸丑寅櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60911774000000","140.46622853000000"
"102","60","弘前城","北の郭北門（亀甲門）","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19370729","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.61173875000000","140.46670753000000"
"102","61","弘前城三の丸東門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19531114","","青森県","青森県弘前市大字下白銀町1番地","","弘前市","","40.60716162000000","140.46771008000000"
"102","503","旧江戸城清水門","櫓門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19610607","","東京都","東京都千代田区北の丸公園","","国(環境省)","","35.69276557000000","139.75259329000000"
"102","502","旧江戸城清水門","清水門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19610607","","東京都","東京都千代田区北の丸公園","","国(環境省)","","35.69278731000000","139.75280281000000"
