"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","40","正行寺本堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸後期","19920121","","北海道","北海道厚岸郡厚岸町梅香町","","正行寺","","43.03596184000000","144.84669424000000"
"102","37","上國寺本堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸後期","19930420","","北海道","北海道檜山郡上ノ国町字勝山","","上国寺","","41.80337205000000","140.10331830000000"
"102","31","法源寺山門","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19930420","","北海道","北海道松前郡松前町字松城","","法源寺","","41.43151527000000","140.10755473000000"
"102","28","龍雲院","惣門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","19920121","","北海道","北海道松前郡松前町字松城","","龍雲院","","41.43099663000000","140.10703993000000"
"102","30","龍雲院","土蔵","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","19920121","","北海道","北海道松前郡松前町字松城","","龍雲院","","41.43102632000000","140.10734729000000"
"102","29","龍雲院","鐘楼","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","19920121","","北海道","北海道松前郡松前町字松城","","龍雲院","","41.43111888000000","140.10691069000000"
"102","27","龍雲院","庫裏","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","19920121","","北海道","北海道松前郡松前町字松城","","龍雲院","","41.43130226000000","140.10726347000000"
"102","26","龍雲院","本堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","19920121","","北海道","北海道松前郡松前町字松城","","龍雲院","","41.43131623000000","140.10701897000000"
"102","80","岩木山神社拝殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19080423","","青森県","青森県弘前市百沢","","岩木山神社","","40.62153196000000","140.34108105000000"
"102","79","円覚寺薬師堂内厨子","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19530829","","青森県","青森県西津軽郡深浦町大字深浦","円覚寺","円覚寺","","40.64233309000000","139.92287183000000"
"102","65","革秀寺本堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19930817","","青森県","青森県弘前市大字藤代一丁目","","革秀寺","","40.61271881000000","140.45011663000000"
"102","41","最勝院五重塔","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19080423","","青森県","青森県弘前市大字銅屋町","","最勝院","","40.59704513000000","140.46896440000000"
"102","62","誓願寺山門","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19380826","","青森県","青森県弘前市大字新町","","誓願寺","","40.60998751000000","140.45747951000000"
"102","70","清水寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19800126","","青森県","青森県八戸市大字是川","","清水寺","","40.47160083000000","141.49014948000000"
"102","49","長勝寺","本堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19930817","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59874366000000","140.45065986000000"
"102","50","長勝寺","庫裏","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19930817","","青森県","青森県弘前市大字西茂森一丁目","","長勝寺","","40.59893851000000","140.45100134000000"
