"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"401","7","五稜郭跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","北海道","函館市五稜郭町本通","","","","41.79688685000000","140.75682682000000"
"401","108","三内丸山遺跡","","史跡名勝天然記念物","特別史跡","","","","19970305","","青森県","青森市大字三内","","","","40.81103046000000","140.69849074000000"
"401","165","中尊寺境内","","史跡名勝天然記念物","特別史跡","","","","19790522","","岩手県","西磐井郡平泉町","","","","39.00186419000000","141.10007091000000"
"401","117","無量光院跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","岩手県","西磐井郡平泉町","","","","38.99293002000000","141.11588820000000"
"401","116","毛越寺境内
　附　鎮守社跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","岩手県","西磐井郡平泉町","","","","38.99053116000000","141.11545707000000"
"401","181","多賀城跡
　附　寺跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","宮城県","多賀城市市川・高崎・新西久保・西久保・金堀・五万崎・六月坂・浮島・大代・山王","","","","38.30605267000000","140.98841561000000"
"401","268","大湯環状列石","","史跡名勝天然記念物","特別史跡","","","縄文時代後期前葉～中葉","19511226","","秋田県","鹿角市十和田","","","","40.27133698000000","140.80431892000000"
"401","470","大谷磨崖仏","","史跡名勝天然記念物","特別史跡","","","","19260224","","栃木県","宇都宮市大谷町","","","","36.59628590000000","139.82087223000000"
"401","467","日光杉並木街道
　附　並木寄進碑","","史跡名勝天然記念物","特別史跡","特別天然記念物","","江戸時代初期","19220308","","栃木県","日光市、鹿沼市","","","","36.69076609000000","139.71674674000000"
"401","521","金井沢碑","","史跡名勝天然記念物","特別史跡","","","","19210303","","群馬県","高崎市山名町","","","","36.28566066000000","139.01616962000000"
"401","519","多胡碑","","史跡名勝天然記念物","特別史跡","","","","19210303","","群馬県","高崎市","","","","36.26468249000000","138.99647476000000"
"401","520","山上碑及び古墳","","史跡名勝天然記念物","特別史跡","","","","19210303","","群馬県","高崎市山名町","","","","36.27711111000000","139.02777778000000"
"401","603","埼玉古墳群","","史跡名勝天然記念物","特別史跡","","","","20200310","","埼玉県","行田市","","","","36.12308616000000","139.47787255000000"
"401","425","旧弘道館","","史跡名勝天然記念物","特別史跡","","","","19220308","","茨城県","水戸市三の丸","","","","36.37580762000000","140.47708639000000"
"401","427","常陸国分寺跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","茨城県","石岡市府中","","","","36.19635980000000","140.27370119000000"
"401","428","常陸国分尼寺跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","茨城県","石岡市若松","","","","36.20161471000000","140.26774600000000"
"401","00003988","加曽利貝塚","","史跡名勝天然記念物","特別史跡","","","縄文","19710322","","千葉県","千葉県千葉市","","","","35.60721361000000","140.10643306000000"
"401","723","江戸城跡","","史跡名勝天然記念物","特別史跡","","","","19600520","","東京都","千代田区","","","","35.68825153000000","139.75444970000000"
"401","712","旧浜離宮庭園","","史跡名勝天然記念物","特別名勝","特別史跡","","","19481218","","東京都","中央区浜離宮庭園","","","","35.65989173000000","139.76335008000000"
"401","683","小石川後楽園","","史跡名勝天然記念物","特別史跡","特別名勝","","","19230307","","東京都","文京区後楽一丁目","","","","35.70565502000000","139.74908212000000"
"401","00003445","一乗谷朝倉氏遺跡","","史跡名勝天然記念物","特別史跡","","","","19300708","","福井県","福井市城戸ノ内町・安波賀町・東新町・西新町","","","","36.00139924000000","136.29698422000000"
"401","1178","尖石石器時代遺跡","","史跡名勝天然記念物","特別史跡","","","","19421014","","長野県","茅野市豊平","","","","36.01365695000000","138.23315369000000"
"401","1316","新居関跡","","史跡名勝天然記念物","特別史跡","","","","19210303","","静岡県","浜名郡新居町","","","","34.69479510000000","137.56136592000000"
"401","1323","遠江国分寺跡","","史跡名勝天然記念物","特別史跡","","","","19230307","","静岡県","磐田市見付","","","","34.71948542000000","137.85137974000000"
"401","1353","登呂遺跡","","史跡名勝天然記念物","特別史跡","","","","19520329","","静岡県","静岡市駿河区登呂","","","","34.95603090000000","138.40896558000000"
"401","1422","名古屋城跡","","史跡名勝天然記念物","特別史跡","","","","19321212","","愛知県","名古屋市中区本丸・二の丸・三の丸","","","","35.18471410000000","136.89940010000000"
"401","1491","本居宣長旧宅
　同　宅跡","","史跡名勝天然記念物","特別史跡","","","","19220308","","三重県","松阪市殿町（旧宅）松阪市魚町（宅跡）","","","","34.57524459000000","136.52583291000000"
"401","1562","安土城跡","","史跡名勝天然記念物","特別史跡","","","","19261020","","滋賀県","蒲生郡安土町、東近江市","","","","35.15638216000000","136.13934872000000"
"401","1591","彦根城跡","","史跡名勝天然記念物","特別史跡","","","","19510609","","滋賀県","彦根市金亀町・尾末町・城町","","","","35.27613422000000","136.25205662000000"
"401","1792","大坂城跡","","史跡名勝天然記念物","特別史跡","","","","19530331","","大阪府","大阪市中央区大坂城","","","","34.68639252000000","135.52594257000000"
"401","1784","百済寺跡","","史跡名勝天然記念物","特別史跡","","","","19410127","","大阪府","枚方市中宮西之町","","","","34.81561670000000","135.66097694000000"
"401","1865","姫路城跡","","史跡名勝天然記念物","特別史跡","","","","19280920","","兵庫県","姫路市本町","","","","34.83707140000000","134.69332269000000"
"401","1984","石舞台古墳","","史跡名勝天然記念物","特別史跡","","","","19351224","","奈良県","高市郡明日香村","","","","34.46686287000000","135.82612794000000"
"401","3293","キトラ古墳","","史跡名勝天然記念物","特別史跡","","","","20000731","","奈良県","高市郡明日香村","","","","34.45108990000000","135.80516226000000"
"401","1959","巣山古墳","","史跡名勝天然記念物","特別史跡","","","","19270408","","奈良県","北葛城郡広陵町","","","","34.55656307000000","135.74108619000000"
"401","2020","高松塚古墳","","史跡名勝天然記念物","特別史跡","","","","19720617","","奈良県","高市郡明日香村","","","","34.46226848000000","135.80619936000000"
"401","1989","藤原宮跡","","史跡名勝天然記念物","特別史跡","","","６９４年～７１０年","19461121","","奈良県","橿原市高殿町・醍醐町・縄手町・木之本町","","","","34.50222329000000","135.80732074000000"
"401","1942","平城宮跡","","史跡名勝天然記念物","特別史跡","","","","19221012","","奈良県","奈良市佐紀町・二条大路南・法華寺町","","","","34.69204763000000","135.79718105000000"
"401","2032","平城京左京三条二坊宮跡庭園","","史跡名勝天然記念物","特別史跡","特別名勝","","","19781027","","奈良県","奈良市三条大路一丁目","","","","34.68389686000000","135.80234295000000"
"401","1934","本薬師寺跡","","史跡名勝天然記念物","特別史跡","","","","19210303","","奈良県","橿原市城殿町","","","","34.49266238000000","135.79998521000000"
"401","1944","文殊院西古墳","","史跡名勝天然記念物","特別史跡","","","","19230307","","奈良県","桜井市阿部","","","","34.50375700000000","135.84257500000000"
"401","1931","山田寺跡","","史跡名勝天然記念物","特別史跡","","","","19210303","","奈良県","桜井市山田","","","","34.48404559000000","135.83012669000000"
"401","2070","岩橋千塚古墳群","","史跡名勝天然記念物","特別史跡","","","","19310731","","和歌山県","和歌山市岩橋","","","","34.22535458000000","135.22650145000000"
"401","1712","恭仁宮跡（山城国分寺跡）","","史跡名勝天然記念物","特別史跡","","","古代","19570701","","京都府","木津川市","","","","34.76572542000000","135.86229234000000"
"401","1658","慈照寺（銀閣寺）庭園","","史跡名勝天然記念物","特別史跡","特別名勝","","","19251008","","京都府","京都市左京区銀閣寺町","","","","35.02665809000000","135.79825819000000"
"401","1660","醍醐寺三宝院庭園","","史跡名勝天然記念物","特別史跡","特別名勝","","","19270614","","京都府","京都市伏見区醍醐東大路町","","","","34.95190472000000","135.81954431000000"
"401","1657","鹿苑寺（金閣寺）庭園","","史跡名勝天然記念物","特別史跡","特別名勝","","","19251008","","京都府","京都市北区金閣寺町","","","","35.03965336000000","135.72860908000000"
"401","2118","斎尾廃寺跡","","史跡名勝天然記念物","特別史跡","","","","19351224","","鳥取県","東伯郡琴浦町","","","","35.48171188000000","133.71144980000000"
"401","2242","旧閑谷学校
　附　椿山・石門・津田永忠宅跡及び黄葉亭","","史跡名勝天然記念物","特別史跡","","","","19220308","","岡山県","備前市閑谷","","","","34.79637762000000","134.21987320000000"
"401","2315","厳島","","史跡名勝天然記念物","特別史跡","特別名勝","","","19230307","","広島県","廿日市市","","","","34.27116775000000","132.30612349000000"
"401","2351","原爆ドーム（旧広島県産業奨励館）","","史跡名勝天然記念物","特別史跡","","","","19950627","","広島県","広島市中区大手町","","","","34.39564667000000","132.45368502000000"
"401","2324","廉塾ならびに菅茶山旧宅","","史跡名勝天然記念物","特別史跡","","","","19340122","","広島県","福山市","","","","34.54465901000000","133.38456683000000"
"401","2509","讃岐国分寺跡","","史跡名勝天然記念物","特別史跡","","","","19280324","","香川県","高松市","","","","34.30290586000000","133.94416106000000"
"401","2631","王塚古墳","","史跡名勝天然記念物","特別史跡","","","","19370615","","福岡県","嘉穂郡桂川町","","","","33.58873401000000","130.66359466000000"
"401","2622","大野城跡","","史跡名勝天然記念物","特別史跡","","","","19320723","","福岡県","太宰府市、糟谷郡宇美町、大野城市","","","","33.53636129000000","130.51891205000000"
"401","2599","大宰府跡","","史跡名勝天然記念物","特別史跡","","","","19210303","","福岡県","太宰府市","","","","33.51459478000000","130.51517438000000"
"401","2598","水城跡","","史跡名勝天然記念物","特別史跡","","","６６４年～","19210303","","福岡県","太宰府市、大野城市、春日市","","","","33.51642457000000","130.49035829000000"
"401","2711","名護屋城跡並陣跡","","史跡名勝天然記念物","特別史跡","","","","19261104","","佐賀県","唐津市鎮西町・呼子町、東松浦郡玄海町","","","","33.52706610000000","129.87596326000000"
"401","2732","吉野ヶ里遺跡","","史跡名勝天然記念物","特別史跡","","","","19900519","","佐賀県","神埼市、神埼郡吉野ヶ里町","","","","33.32541401000000","130.38439420000000"
"401","2782","金田城跡","","史跡名勝天然記念物","特別史跡","","","","19820323","","長崎県","対馬市美津島町","","","","34.29677303000000","129.27270691000000"
"401","2791","原の辻遺跡","","史跡名勝天然記念物","特別史跡","","","","19970902","","長崎県","壱岐市芦辺町・石田町","","","","33.75878417000000","129.75186114000000"
"401","2778","福井洞窟","","史跡名勝天然記念物","特別史跡","","","","19780802","","長崎県","佐世保市","","","","33.29205288000000","129.69681089000000"
