"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"401","2","阿寒湖のマリモ","","史跡名勝天然記念物","特別天然記念物","","","","19210303","","北海道","釧路市阿寒町","","","","43.45322226000000","144.10229501000000"
"401","26","アポイ岳高山植物群落","","史跡名勝天然記念物","特別天然記念物","","","","19390907","","北海道","様似郡様似町","","","","42.11377882000000","143.03191054000000"
"401","33","昭和新山","","史跡名勝天然記念物","特別天然記念物","","","","19510609","","北海道","有珠郡壮瞥町","","","","42.54257268000000","140.86439231000000"
"401","44","大雪山","","史跡名勝天然記念物","特別天然記念物","","","","19710423","","北海道","上川郡上川町・東川町・美瑛町・新得町","","","","43.55100631000000","142.82994284000000"
"401","4","野幌原始林","","史跡名勝天然記念物","特別天然記念物","","","","19210303","","北海道","北広島市","","","","42.99110703000000","141.53357485000000"
"401","90","小湊のハクチョウおよびその渡来地","","史跡名勝天然記念物","特別天然記念物","","","","19220308","","青森県","東津軽郡平内町
青森市","","","","40.93714292000000","140.97041358000000"
"401","151","夏油温泉の石灰華","","史跡名勝天然記念物","特別天然記念物","","","","19410228","","岩手県","北上市和賀町","","","","39.21067232000000","140.88681871000000"
"401","139","根反の大珪化木","","史跡名勝天然記念物","特別天然記念物","","","","19361216","","岩手県","二戸郡一戸町","","","","40.19032700000000","141.33459500000000"
"401","124","早池峰山および薬師岳の高山帯・森林植物群落","","史跡名勝天然記念物","特別天然記念物","","","","19280207","","岩手県","花巻市、遠野市附馬牛町、下閉伊郡川井村","","","","39.55631768000000","141.47155529000000"
"401","155","焼走り熔岩流","","史跡名勝天然記念物","特別天然記念物","","","","19441107","","岩手県","岩手郡西根町","","","","39.86989176000000","141.04426250000000"
"401","187","鬼首の雌釜および雄釜間歇温泉","","史跡名勝天然記念物","特別天然記念物","","","","19330413","","宮城県","大崎市鳴子温泉鬼首","","","","38.82335517000000","140.69031713000000"
"401","256","玉川温泉の北投石","","史跡名勝天然記念物","特別天然記念物","","","","19221012","","秋田県","仙北市","","","","39.96084271000000","140.73017540000000"
"401","300","羽黒山のスギ並木","","史跡名勝天然記念物","特別天然記念物","","","","19510609","","山形県","鶴岡市","","","","38.70416036000000","139.97009751000000"
"401","291","東根の大ケヤキ","","史跡名勝天然記念物","特別天然記念物","","","","19261020","","山形県","東根市東根","","","","38.44191700000000","140.40245100000000"
"401","465","コウシンソウ自生地","","史跡名勝天然記念物","特別天然記念物","","","","19210303","","栃木県","日光市","","","","36.67381650000000","139.36797879000000"
"401","467","日光杉並木街道
　附　並木寄進碑","","史跡名勝天然記念物","特別史跡","特別天然記念物","","江戸時代初期","19220308","","栃木県","日光市、鹿沼市","","","","36.69076609000000","139.71674674000000"
"401","552","浅間山熔岩樹型","","史跡名勝天然記念物","特別天然記念物","","","","19400830","","群馬県","吾妻郡嬬恋村","","","","36.43155191000000","138.55947446000000"
"401","595","牛島のフジ","","史跡名勝天然記念物","特別天然記念物","","","","19280118","","埼玉県","春日部市牛島","","","","35.98500000000000","139.77322222000000"
"401","591","田島ヶ原サクラソウ自生地","","史跡名勝天然記念物","特別天然記念物","","","","19200717","","埼玉県","さいたま市桜区田島・西堀","","","","35.83885195000000","139.61623258000000"
"401","604","御岳の鏡岩","","史跡名勝天然記念物","特別天然記念物","","","","19400830","","埼玉県","児玉郡神川町","","","","36.17916667000000","139.07047222000000"
"401","632","鯛の浦タイ生息地","","史跡名勝天然記念物","特別天然記念物","","","","19220308","","千葉県","鴨川市","","","","35.11735913000000","140.19216676000000"
"401","701","大島のサクラ株","","史跡名勝天然記念物","特別天然記念物","","","","19351224","","東京都","大島町泉津","","","","34.76291667000000","139.42919445000000"
"401","954","魚津埋没林","","史跡名勝天然記念物","特別天然記念物","","","","19361216","","富山県","魚津市釈迦堂","","","","36.82252100000000","137.39457700000000"
"401","960","黒部峡谷
　附　猿飛並びに奥鐘山","","史跡名勝天然記念物","特別名勝","特別天然記念物","","","19560907","","富山県","中新川郡立山町、下新川郡宇奈月町","","","","36.60407534000000","137.67633324000000"
"401","946","ホタルイカ群遊海面","","史跡名勝天然記念物","特別天然記念物","","","","19220308","","富山県","富山市水橋町
魚津市
滑川市","","","","36.78824760000000","137.34990631000000"
"401","958","薬師岳の圏谷群","","史跡名勝天然記念物","特別天然記念物","","","","19450222","","富山県","富山市","","","","36.46727546000000","137.55178110000000"
"401","1002","岩間の噴泉塔群","","史跡名勝天然記念物","特別天然記念物","","","","19541225","","石川県","白山市尾添","","","","36.23141523000000","136.76740047000000"
"401","1111","鳴沢熔岩樹型","","史跡名勝天然記念物","特別天然記念物","","","","19291217","","山梨県","南都留郡鳴沢村","","","","35.48005556000000","138.69836111000000"
"401","1165","上高地","","史跡名勝天然記念物","特別名勝","特別天然記念物","","","19280324","","長野県","松本市","","","","36.28300533000000","137.67525026000000"
"401","1159","白骨温泉の噴湯丘と球状石灰石","","史跡名勝天然記念物","特別天然記念物","","","","19220308","","長野県","松本市","","","","36.15218392000000","137.62987395000000"
"401","1245","石徹白のスギ","","史跡名勝天然記念物","特別天然記念物","","","","19241209","","岐阜県","郡上市白鳥町","","","","35.99208500000000","136.76870700000000"
"401","1249","根尾谷断層","","史跡名勝天然記念物","特別天然記念物","","","","19270614","","岐阜県","本巣市根尾","","","","35.61642274000000","136.62035034000000"
"401","1272","根尾谷の菊花石","","史跡名勝天然記念物","特別天然記念物","","","","19411213","","岐阜県","本巣市根尾町","","","","35.67189615000000","136.69056501000000"
"401","1322","狩宿の下馬ザクラ","","史跡名勝天然記念物","特別天然記念物","","","","19221012","","静岡県","富士宮市狩宿","","","","35.30147222000000","138.58850000000000"
"401","1349","湧玉池","","史跡名勝天然記念物","特別天然記念物","","","","19441107","","静岡県","富士宮市宮町","","","","35.22738626000000","138.61139817000000"
"401","1583","長岡のゲンジボタルおよびその発生地","","史跡名勝天然記念物","特別天然記念物","","","","19440307","","滋賀県","米原市長岡","","","","35.35288543000000","136.36778762000000"
"401","1951","春日山原始林","","史跡名勝天然記念物","特別天然記念物","","","","19241209","","奈良県","奈良市春日野町","","","","34.68207411000000","135.85831576000000"
"401","2104","大山のダイセンキャラボク純林","","史跡名勝天然記念物","特別天然記念物","","","","19270614","","鳥取県","西伯郡大山町","","","","35.37220146000000","133.53459571000000"
"401","2167","大根島の熔岩隧道","","史跡名勝天然記念物","特別天然記念物","","","","19310731","","島根県","松江市八束町","","","","35.49238600000000","133.18435700000000"
"401","2432","秋吉台","","史跡名勝天然記念物","特別天然記念物","","","","19611019","","山口県","美祢市","","","","34.24986487000000","131.30303182000000"
"401","2364","秋芳洞","","史跡名勝天然記念物","特別天然記念物","","","","19220308","","山口県","美祢市","","","","34.22852970000000","131.30359312000000"
"401","2362","八代のツルおよびその渡来地","","史跡名勝天然記念物","特別天然記念物","","","","19210303","","山口県","周南市、下松市","","","","34.09348064000000","131.94374077000000"
"401","2480","加茂の大クス","","史跡名勝天然記念物","特別天然記念物","","","","19261020","","徳島県","三好郡東みよし町","","","","34.04091300000000","133.93193100000000"
"401","2504","宝生院のシンパク","","史跡名勝天然記念物","特別天然記念物","","","","19221012","","香川県","小豆郡土庄町","","","","34.49334700000000","134.19746400000000"
"401","2541","八釜の甌穴群","","史跡名勝天然記念物","特別天然記念物","","","","19340501","","愛媛県","上浮穴郡久万高原町","","","","33.52498670000000","132.99270785000000"
"401","2581","高知市のミカドアゲハおよびその生息地","","史跡名勝天然記念物","特別天然記念物","","","","19430824","","高知県","高知市天神町・筆山町・潮江","","","","33.54862454000000","133.53373436000000"
"401","2570","杉の大スギ","","史跡名勝天然記念物","特別天然記念物","","","","19241209","","高知県","長岡郡大豊町","","","","33.75408333000000","133.66330556000000"
