"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"901","13","平泉―仏国土（浄土）を表す建築・庭園及び考古学的遺跡群―","","世界遺産","","","","","","","岩手県","","","","","39.00159343000000","141.09994162000000"
"901","8","日光の社寺","","世界遺産","","","","","","","栃木県","日光市","","","","36.75820397000000","139.59676740000000"
"901","17","富岡製糸場と絹産業遺産群","","世界遺産","","","","","","","群馬県","富岡市、伊勢崎市、藤岡市、甘楽郡下仁田町","","","","36.39119444000000","139.06095556000000"
"901","00000024","佐渡島の金山","","世界遺産","","","","","","","新潟県","佐渡市","","","","37.90972222000000","138.32527780000000"
"901","00000020","百舌鳥・古市古墳群―古代日本の墳墓群―","","世界遺産","","","","","","","大阪府","堺市、藤井寺市、羽曳野市","","","","34.57368611000000","135.48286389000000"
"901","2","姫路城","","世界遺産","","","","","","","兵庫県","姫路市","","","","34.83757022000000","134.69332297000000"
"901","7","古都奈良の文化財","","世界遺産","","","","","","","奈良県","奈良市","","","","34.68823173000000","135.83986816000000"
"901","1","法隆寺地域の仏教建造物","","世界遺産","","","","","","","奈良県","生駒郡斑鳩町","","","","34.61455838000000","135.73420058000000"
"901","11","石見銀山遺跡とその文化的景観","","世界遺産","","","","","","","島根県","大田市","","","","35.10370826000000","132.43720692000000"
"901","6","厳島神社","","世界遺産","","","","","","","広島県","廿日市市宮島町","","","","34.29652164000000","132.31920474000000"
"901","5","原爆ドーム","","世界遺産","","","","","","","広島県","広島市","","","","34.39564314000000","132.45359349000000"
"901","15","「神宿る島」宗像・沖ノ島と関連遺産群","","世界遺産","","","","","","","福岡県","宗像市，福津市","","","","33.80554444000000","130.54050556000000"
"901","9","琉球王国のグスク及び関連遺産群","","世界遺産","","","","","","","沖縄県","那覇市  うるま市  南城市  国頭郡今帰仁村  中頭郡読谷村  中城村  北中城村","","","","26.69076577000000","127.92998535000000"
"901","10","紀伊山地の霊場と参詣道","","世界遺産","","","","","","","２県以上","三重県尾鷲市 三重県熊野市 三重県度会郡大紀町 三重県北牟婁郡紀北町 三重県南牟婁郡御浜町 三重県南牟婁郡紀宝町 奈良県五條市 奈良県吉野郡吉野町 奈良県吉野郡黒滝村 奈良県吉野郡天川村 奈良県吉野郡野迫川村 奈良県吉野郡十津川村 奈良県吉野郡下北山村 奈良県吉野郡上北山村 奈良県吉野郡川上村 和歌山県田辺市 和歌山県新宮市 和歌山県橋本市 和歌山県伊都郡かつらぎ町 和歌山県伊都郡九度山町 和歌山県伊都郡高野町 和歌山県西牟婁郡白浜町 和歌山県西牟婁郡すさみ町 和歌山県西牟婁郡上富田町 和歌山県東牟婁郡那智勝浦町 和歌山県東牟婁郡串本町","","","","34.35614267000000","135.87090891000000"
"901","3","古都京都の文化財","","世界遺産","","","","","","","２県以上","京都府京都市  京都府宇治市  滋賀県大津市","","","","35.06001865000000","135.75286177000000"
"901","4","白川郷・五箇山の合掌造り集落","","世界遺産","","","","","","","２県以上","岐阜県大野郡白川村  富山県南砺市","","","","36.26070748000000","136.90722968000000"
"901","16","長崎と天草地方の潜伏キリシタン関連遺産","","世界遺産","","","","","","","２県以上","長崎県南島原市、平戸市、長崎市、佐世保市、小値賀町、新上五島町、五島市、熊本県天草市 ","","","","32.65973889000000","130.29770556000000"
"901","19","富士山―信仰の対象と芸術の源泉―","","世界遺産","","","","","","","２県以上","山梨県富士吉田市・身延町・鳴沢村・富士河口湖町・山中湖村・忍野村
静岡県静岡市・富士宮市・富士市・裾野市・御殿場市・小山町","","","","34.97688861000000","138.38305000000000"
"901","00000022","北海道・北東北の縄文遺跡群","","世界遺産","","","","","","","２県以上","北海道函館市
北海道千歳市
北海道伊達市
北海道洞爺湖町
青森県青森市
青森県弘前市
青森県八戸市
青森県つがる市
青森県外ヶ浜町
青森県七戸町
秋田県北秋田市
秋田県鹿角市
岩手県一戸町","","","","41.03536000000000","140.64117083000000"
"901","00000021","明治日本の産業革命遺産　製鉄・製鋼，造船，石炭産業","","世界遺産","","","","","","","２県以上","福岡県北九州市，大牟田市，中間市，佐賀県佐賀市，長崎県長崎市，熊本県荒尾市，宇城市，鹿児島県鹿児島市，山口県萩市，岩手県釜石市，静岡県伊豆の国市","","","","34.41978194000000","131.42140278000000"
"901","14","ル・コルビュジエの建築作品‐近代建築運動への顕著な貢献‐","","世界遺産","","","","","","","２県以上","東京都台東区上野公園7－7（国立西洋美術館），その他　フランス，ドイツ，スイス，ベルギー，アルゼンチン，インド","","","","35.71566778000000","139.77643778000000"
