"no","id","name","category","designation","prefecture","region","latitude","longitude","source_type","source_url","source_record_id","coordinate_source","selection_role","selection_rule"
"1","kinki-shrine-temple-sites-v5-nested-001","伊勢神宮 内宮","近畿五芒星・固定アンカー","記事の検証対象","三重県","東海","34.455000","136.725200","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-001","記事で先に固定した座標","target-anchor","fixed before background sampling"
"2","kinki-shrine-temple-sites-v5-nested-002","熊野本宮大社","近畿五芒星・固定アンカー","記事の検証対象","和歌山県","近畿","33.840600","135.773400","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-002","記事で先に固定した座標","target-anchor","fixed before background sampling"
"3","kinki-shrine-temple-sites-v5-nested-003","伊弉諾神宮","近畿五芒星・固定アンカー","記事の検証対象","兵庫県","近畿","34.460100","134.852500","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-003","記事で先に固定した座標","target-anchor","fixed before background sampling"
"4","kinki-shrine-temple-sites-v5-nested-004","元伊勢皇大神社","近畿五芒星・固定アンカー","記事の検証対象","京都府","近畿","35.430400","135.154300","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-004","記事で先に固定した座標","target-anchor","fixed before background sampling"
"5","kinki-shrine-temple-sites-v5-nested-005","伊吹山","近畿五芒星・固定アンカー","記事の検証対象","滋賀県","近畿","35.417800","136.406400","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-005","記事で先に固定した座標","target-anchor","fixed before background sampling"
"6","kinki-shrine-temple-sites-v5-nested-006","浅間神社摂社山宮神社本殿","神社建築","重要文化財","山梨県","北陸甲信","35.634038","138.714059","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-883","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"7","kinki-shrine-temple-sites-v5-nested-007","東照宮","神社建築","重要文化財","群馬県","関東","36.261950","139.275417","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-428","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"8","kinki-shrine-temple-sites-v5-nested-008","東照宮","神社建築","重要文化財","宮城県","東北","38.279766","140.885025","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-121","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"9","kinki-shrine-temple-sites-v5-nested-009","筥崎宮拝殿","神社建築","重要文化財","福岡県","九州","33.614628","130.423333","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-3461","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"10","kinki-shrine-temple-sites-v5-nested-010","土佐神社本殿、幣殿及び拝殿","神社建築","重要文化財","高知県","四国","33.592611","133.577010","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-3415","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"11","kinki-shrine-temple-sites-v5-nested-011","旧閑谷学校聖廟","神社建築","重要文化財","岡山県","中国","34.796564","134.220049","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-3046","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"12","kinki-shrine-temple-sites-v5-nested-012","権現堂","神社建築","重要文化財","沖縄県","沖縄","24.343541","124.155959","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-3658","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"13","kinki-shrine-temple-sites-v5-nested-013","香取神宮","神社建築","重要文化財","千葉県","関東","35.885730","140.528862","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-470","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"14","kinki-shrine-temple-sites-v5-nested-014","八幡宮本殿","神社建築","重要文化財","愛知県","東海","34.838328","137.339823","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-1229","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
"15","kinki-shrine-temple-sites-v5-nested-015","薦神社神門","神社建築","重要文化財","大分県","九州","33.567120","131.218282","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","102-3590","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; region+category quotas; 2km spacing; deterministic SHA-256 rank"
